"INDENTIFICADOR_INTERNO","CODIGO_GRUPO","NOMBRE_GRUPO","ANO_CONFORMACION","MES_CONFORMACION","CODIGO_CIUDAD","NOMBRE_CIUDAD","CODIGO_DPTO","NOMBRE_DPTO","ENTIDADES_AVALAN","COD_GRAN_AREA_CONOCIMIENTO","NOMBRE_GRAN_AREA_CONOCIMIENTO","COD_AREA_CONOCIMIENTO","NOMBRE_AREA_CONOCIMIENTO","COD_PROGRAMA_COLCIENCIAS","NOMBRE_PROGRAMA_COLCIENCIAS"
3490,"COL0004694","ESTUDIOS DEL MUNDO DEL TRABAJO",1982,5,1,"Medell¡n",5,"Antioquia","ESCUELA NACIONAL SINDICAL ENS",5,"CIENCIAS SOCIALES","5D","SOCIOLOGIA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
3491,"COL0052009","EVALUANDO_NOS",2002,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD PEDAGOGICA NACIONAL UPN",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
3493,"COL0004479","BIOLOGIA ESTRUCTURAL Y PROTEOMICA",1999,1,1,"Medell¡n",5,"Antioquia","PARQUE TECNOLOGICO DE ANTIOQUIA SA; UNIVERSIDAD PONTIFICIA BOLIVARIANA SEDE  MEDELLIN; UNIVERSIDAD DEL ATLANTICO",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
3494,"COL0052154","PROCESOS EN ALIMENTOS Y BIOMATERIALES - PROABI",2000,8,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA; UNIVERSIDAD DE LA SALLE UNISALLE",4,"CIENCIAS AGRICOLAS","4A","AGRICULTURA SILVICULTURA Y PESCA",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
3495,"COL0052289","QUIMICA DE LOS PRODUCTOS NATURALES Y LOS ALIMENTOS",1992,1,1,"Medell¡n",5,"Antioquia","UNIVERSIDAD NACIONAL DE COLOMBIA",1,"CIENCIAS NATURALES","1D","CIENCIAS QUIMICAS",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
3498,"COL0005548","GIDES (GRUPO DE INVESTIGACION EN DESARROLLO  SOCIAL)",2000,8,1,"Cartagena",13,"Bolivar","UNIVERSIDAD DE SAN BUENAVENTURA",5,"CIENCIAS SOCIALES","5G","GEOGRAFIA SOCIAL Y ECONOMICA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
3501,"COL0052083","DASSEYN",2005,1,1,"Popayan",19,"Cauca","UNIVERSIDAD COOPERATIVA DE COLOMBIA",5,"CIENCIAS SOCIALES","5A","PSICOLOGIA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
3503,"COL0052109","METODOS ESTADISTICOS APLICADOS",2002,9,1,"Barranquilla",8,"Atlantico","UNIVERSIDAD DEL ATLANTICO; UNIVERSIDAD LIBRE DE COLOMBIA - BARRANQUILLA",1,"CIENCIAS NATURALES","1A","MATEMATICA",5,"CIENCIAS BASICAS"
3506,"COL0052163","GISSIC: GRUPO DE INVESTIGACION EN SEGURIDAD Y SISTEMAS DE COMUNICACIONES",2005,2,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD MILITAR NUEVA GRANADA UNIMILITAR",2,"INGENIERIA Y TECNOLOGIA","2B","INGENIERIAS ELECTRICA ELECTRONICA E INFORMATICA",9,"ELECTRONICA TELECOMUNICACIONES E INFORMATICA"
3508,"COL0052181","TIGUM: GRUPO DE INVESTIGACION EN TELEMEDICINA UNIVERSIDAD MILITAR",2005,7,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD MILITAR NUEVA GRANADA UNIMILITAR",2,"INGENIERIA Y TECNOLOGIA","2F","INGENIERIA MEDICA",9,"ELECTRONICA TELECOMUNICACIONES E INFORMATICA"
3514,"COL0052234","GRUPO DE INVESTIGACION EN EDUCACION SUPERIOR (GIES)",2004,10,1,"Cali",76,"Valle","UNIVERSIDAD SANTIAGO DE CALI USC",5,"CIENCIAS SOCIALES","5F","CIENCIAS POLITICAS",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
3516,"COL0052252","GRUPO DE INVESTIGACION EN DISENO; IMAGEN Y COMUNICACION VISUAL  -PALOSECO-",2004,9,1,"Bucaramanga",68,"Santander","CORPORACION UNIVERSITARIA DE INVESTIGACION Y DESARROLLO",5,"CIENCIAS SOCIALES","5H","PERIODISMO Y COMUNICACIONES",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
3518,"COL0020894","UNIVERSIDAD PARALELA",2002,1,1,"Riohacha",44,"La Guajira","UNIVERSIDAD DE LA GUAJIRA",5,"CIENCIAS SOCIALES","5H","PERIODISMO Y COMUNICACIONES",9,"ELECTRONICA TELECOMUNICACIONES E INFORMATICA"
3520,"COL0052314","GEMINGIN (GESTION EMPRESARIAL EN INGENIERIA INDUSTRIAL)",2004,1,1,"Valledupar",20,"Cesar","UNIVERSIDAD DE SANTANDER",2,"INGENIERIA Y TECNOLOGIA","2K","OTRAS INGENIERIAS Y TECNOLOGIAS",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
3522,"COL0020876","MOTIVAR",1998,1,1,"Riohacha",44,"La Guajira","UNIVERSIDAD DE LA GUAJIRA",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
3526,"COL0001404","CIDEA",2000,1,1,"Bogot ",11,"Distrito Capital","CENTRO DE INVESTIGACION Y DESARROLLO ACADEMICO EMPRESA ASOCIATIVA DE TRABAJO CIDEA EAT; CENTRO DE INVESTIGACION Y DESARROLLO ACADEMICO; UNIVERSIDAD CATOLICA DE COLOMBIA UCC",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
3527,"COL0005207","FORMACION DE MAESTROS",1997,1,1,"Bogot ",11,"Distrito Capital","CORPORACION ESCUELA PEDAGOGICA EXPERIMENTAL EPE",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
3528,"COL0018045","GRUPO DE MATEMATICAS E INFORMATICA DE LA CORPORACION UNIVERSITARIA DE LA COSTA; MATINCUC",2005,1,1,"Barranquilla",8,"Atlantico","CORPORACION UNIVERSIDAD DE LA COSTA CUC",1,"CIENCIAS NATURALES","1G","OTRAS CIENCIAS NATURALES",5,"CIENCIAS BASICAS"
3529,"COL0004209","EL APRENDIZAJE Y LA ENSENANZA",1990,1,1,"Bogot ",11,"Distrito Capital","CORPORACION ESCUELA PEDAGOGICA EXPERIMENTAL EPE",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
3530,"COL0002887","CONVIVENCIA",1997,1,1,"Bogot ",11,"Distrito Capital","CORPORACION ESCUELA PEDAGOGICA EXPERIMENTAL EPE",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
3531,"COL0009458","GRUPO DE INVESTIGACION EN BIOINGENIERIA (GIB) CES - EAFIT",1999,8,1,"Medell¡n",5,"Antioquia","UNIVERSIDAD CES; UNIVERSIDAD EAFIT",2,"INGENIERIA Y TECNOLOGIA","2F","INGENIERIA MEDICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
3532,"COL0015992","SALUD MENTAL",1991,4,1,"Medell¡n",5,"Antioquia","UNIVERSIDAD CES",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
3534,"COL0002509","CIENCIAS BASICAS",2002,1,1,"Medell¡n",5,"Antioquia","UNIVERSIDAD CES",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",5,"CIENCIAS BASICAS"
3535,"COL0003338","DERMATOLOGIA CES",1991,2,1,"Medell¡n",5,"Antioquia","UNIVERSIDAD CES",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
3536,"COL0014206","OBSERVATORIO DE LA SALUD PUBLICA",1999,10,1,"Medell¡n",5,"Antioquia","UNIVERSIDAD CES",3,"CIENCIAS MEDICAS Y DE LA SALUD","3C","CIENCIAS DE LA SALUD",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
3538,"COL0002911","CORPORACION PARA LA INVESTIGACION DE LA CORROSION",1994,11,547,"Piedecuesta",68,"Santander","CORPORACION PARA LA INVESTIGACION DE LA CORROSION CIC",2,"INGENIERIA Y TECNOLOGIA","2K","OTRAS INGENIERIAS Y TECNOLOGIAS",11,"INVESTIGACIONES EN ENERGIA Y MINERIA"
3539,"COL0052468","CHARLES PRENTICE",2004,5,1,"Bogot ",11,"Distrito Capital","FUNDACION UNIVERSITARIA DEL AREA ANDINA SECCIONAL BOGOTA",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
3540,"COL0052628","INVESTIGACION EN INMUNOLOGIA OCULAR",2001,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DE LA SALLE UNISALLE",3,"CIENCIAS MEDICAS Y DE LA SALUD","3C","CIENCIAS DE LA SALUD",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
3541,"COL0013648","MEDICINA TROPICAL",1989,6,631,"Sabaneta",5,"Antioquia","INSTITUTO COLOMBIANO DE MEDICINA TROPICAL ANTONIO ROLDAN BETANCUR ICMT; UNIVERSIDAD CES",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
3542,"COL0009153","CORPORACION NACIONAL DE INVESTIGACION Y FOMENTO FORESTAL - CONIF",1974,7,1,"Bogot ",11,"Distrito Capital","CORPORACION NACIONAL DE INVESTIGACION Y FOMENTO FORESTAL - CONIF",4,"CIENCIAS AGRICOLAS","4A","AGRICULTURA SILVICULTURA Y PESCA",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
3543,"COL0007604","GRUPO REGIONAL DE INVESTIGACION EN ECONOMIA Y CULTURA DEL CARIBE COLOMBIANO",2000,1,1,"Cartagena",13,"Bolivar","CORPORACION OBSERVATORIO DEL CARIBE COLOMBIANO",5,"CIENCIAS SOCIALES","5I","OTRAS CIENCIAS SOCIALES",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
3545,"COL0052519","ECOLOGIA ACUATICA E INSULAR",2005,8,1,"Cali",76,"Valle","INSTITUTO DE INVESTIGACIONES MARINAS Y COSTERAS DE PUNTA DE BETIN INVEMAR; PONTIFICIA UNIVERSIDAD JAVERIANA PUJ SEDE CALI",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
3550,"COL0052566","OPTIMIZACION ECONOMICA",2004,2,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD NACIONAL DE COLOMBIA",2,"INGENIERIA Y TECNOLOGIA","2K","OTRAS INGENIERIAS Y TECNOLOGIAS",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
3554,"COL0052609","CULTURAS UNIVERSITARIAS",2002,7,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD ANTONIO NARINO",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
3557,"COL0052646","ACTIVIDAD FISICA Y CALIDAD DE VIDA",2005,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DE CIENCIAS APLICADAS Y AMBIENTALES UDCA",9,"POR DEFINIR","9Z","POR DEFINIR",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
3559,"COL0052664","SUBJETIVIDADES  JUVENILES",2002,1,1,"Bogot ",11,"Distrito Capital","FUNDACION UNIVERSIDAD INCCA DE COLOMBIA",5,"CIENCIAS SOCIALES","5A","PSICOLOGIA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
3563,"COL0052708","LOS ASEPTICOS",2005,1,1,"Pereira",66,"Risaralda","FUNDACION UNIVERSITARIA DEL AREA ANDINA - SECCIONAL PEREIRA",3,"CIENCIAS MEDICAS Y DE LA SALUD","3C","CIENCIAS DE LA SALUD",0,"NO APLICA"
3565,"COL0052726","CUIDADO PRIMARIO VISUAL Y OCULAR",2000,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DE LA SALLE UNISALLE",3,"CIENCIAS MEDICAS Y DE LA SALUD","3C","CIENCIAS DE LA SALUD",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
3566,"COL0052735","GRUPO DE INVESTIGACION AMBIENTAL EN SALUD (GUIAS)",1996,1,1,"Cali",76,"Valle","UNIVERSIDAD SANTIAGO DE CALI USC",3,"CIENCIAS MEDICAS Y DE LA SALUD","3C","CIENCIAS DE LA SALUD",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
3567,"COL0052744","BIOTANATOLOGIA",2005,7,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD TECNOLOGICA DE PEREIRA UTP; FUNDACION UNIVERSITARIA DEL AREA ANDINA - SECCIONAL PEREIRA; UNIVERSIDAD LIBRE DE COLOMBIA PEREIRA",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
3569,"COL0052762","ERGONOMIA; PRODUCTO Y SIGNIFICADO- GEPS",2005,8,1,"Bucaramanga",68,"Santander","UNIVERSIDAD INDUSTRIAL DE SANTANDER UIS",2,"INGENIERIA Y TECNOLOGIA","2K","OTRAS INGENIERIAS Y TECNOLOGIAS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
3572,"COL0007284","D+TEC - DESARROLLO TECNOLOGICO",1995,7,1,"Ibagu‚",73,"Tolima","UNIVERSIDAD DE IBAGUE",2,"INGENIERIA Y TECNOLOGIA","2B","INGENIERIAS ELECTRICA ELECTRONICA E INFORMATICA",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
3573,"COL0052806","SISTEMAS SOSTENIBLES DE PRODUCCION CON ENFASIS EN PALMAS TROPICALES",2005,1,1,"Villavicencio",50,"Meta","UNIVERSIDAD DE LOS LLANOS UNILLANOS; FUNDACION HORIZONTE VERDE",4,"CIENCIAS AGRICOLAS","4C","CIENCIAS VETERINARIAS",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
3574,"COL0002063","GRUPOS DE INVESTIGACION SOCIO POLITICA GISPOL",1986,1,1,"Ibagu‚",73,"Tolima","UNIVERSIDAD DE IBAGUE",5,"CIENCIAS SOCIALES","5F","CIENCIAS POLITICAS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
3576,"COL0002072","GESE",1996,2,1,"Ibagu‚",73,"Tolima","UNIVERSIDAD DE IBAGUE",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
3577,"COL0008512","GRUPO DE GEOCIENCIAS",1992,5,1,"Bogot ",11,"Distrito Capital","CORPORACION GEOLOGICA ARES",1,"CIENCIAS NATURALES","1E","CIENCIAS DE LA TIERRA Y MEDIOAMBIENTALES",5,"CIENCIAS BASICAS"
3578,"COL0006599","GRUPO DE INVESTIGACION EN INGENIERIA DE SISTEMAS",1997,1,1,"Bogot ",11,"Distrito Capital","FUNDACION UNIVERSITARIA PANAMERICANA INESPRO",1,"CIENCIAS NATURALES","1B","COMPUTACION Y CIENCIAS DE LA INFORMACION",9,"ELECTRONICA TELECOMUNICACIONES E INFORMATICA"
3580,"COL0001306","GRUPO DE ESTUDIOS HUMANOS; PEDAGOGICOS Y SOCIALES",1999,6,1,"Bogot ",11,"Distrito Capital","FUNDACION UNIVERSITARIA PANAMERICANA INESPRO",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
3583,"COL0052898","TATAMASALUD",2003,9,307,"Girardot",25,"Cundinamarca","UNIVERSIDAD DE CUNDINAMARCA",3,"CIENCIAS MEDICAS Y DE LA SALUD","3C","CIENCIAS DE LA SALUD",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
3588,"COL0052959","REPRODUCCION Y PRODUCCION ANIMAL",2003,1,1,"Monter¡a",23,"Cordoba","UNIVERSIDAD DE CORDOBA UNICOR",4,"CIENCIAS AGRICOLAS","4C","CIENCIAS VETERINARIAS",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
3589,"COL0001889","CARACTERIZACION TECNOLOGICA DE MINERALES",1999,1,1,"Cali",76,"Valle","INSTITUTO COLOMBIANO DE GEOLOGIA Y MINERIA; UNIVERSIDAD NACIONAL DE COLOMBIA; UNIVERSIDAD DE CALDAS UNICALDAS",1,"CIENCIAS NATURALES","1E","CIENCIAS DE LA TIERRA Y MEDIOAMBIENTALES",5,"CIENCIAS BASICAS"
3591,"COL0015105","PROGRAMA DE FLORA",1995,1,1,"Leticia",91,"Amazonas","INSTITUTO AMAZONICO DE INVESTIGACIONES CIENTIFICAS - SINCHI",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
3593,"COL0005243","FRUTALES PROMISORIOS DE LA AMAZONIA",1996,1,1,"Bogot ",11,"Distrito Capital","INSTITUTO AMAZONICO DE INVESTIGACIONES CIENTIFICAS - SINCHI",2,"INGENIERIA Y TECNOLOGIA","2K","OTRAS INGENIERIAS Y TECNOLOGIAS",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
3602,"COL0053099","MECANICA APLICADA",2000,1,1,"Medell¡n",5,"Antioquia","UNIVERSIDAD EAFIT",2,"INGENIERIA Y TECNOLOGIA","2C","INGENIERIA MECANICA",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
3606,"COL0053133","GRUPO DE INVESTIGACION EN  BIOTECNOLOGIA AGROAMBIENTAL-MICROBIOTA",2005,9,1,"Bucaramanga",68,"Santander","UNIVERSIDAD DE SANTANDER",1,"CIENCIAS NATURALES","1G","OTRAS CIENCIAS NATURALES",1,"BIOTECNOLOGIA"
3607,"COL0053142","GESTION DEL TERRITORIO",2003,9,1,"Armenia",63,"Quindio","UNIVERSIDAD LA GRAN COLOMBIA - SEDE ARMENIA - UGCARM",6,"HUMANIDADES","6D","ARTE",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
3608,"COL0053151","GRUPO DE CULTURA Y CAMBIO ORGANIZACIONAL",2001,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD NACIONAL DE COLOMBIA",5,"CIENCIAS SOCIALES","5A","PSICOLOGIA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
3609,"COL0011302","GRUPO DE INVESTIGACION CLINICA DE LA FUNDACION VALLE DEL LILI",1997,1,1,"Cali",76,"Valle","FUNDACION VALLE DEL LILI; CENTRO INTERNACIONAL PARA PRUEBA DE VACUNAS Y MEDICAMENTOS ANTIMALARICOS",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
3611,"COL0009331","GRUPO DE INVESTIGACION DE LA FUNDACION NEUMOLOGICA COLOMBIANA",1995,1,1,"Bogot ",11,"Distrito Capital","FUNDACION NEUMOLOGICA COLOMBIANA",9,"POR DEFINIR","9Z","POR DEFINIR",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
3612,"COL0014028","MEDI-CIENCIAS: NEUROLOGIA CLINICA Y FUNCIONAL",1996,7,1,"Bogot ",11,"Distrito Capital","FUNDACION TOMODACHI",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
3614,"COL0053213","CIASA",2005,2,1,"Pereira",66,"Risaralda","FUNDACION UNIVERSITARIA DEL AREA ANDINA - SECCIONAL PEREIRA",9,"POR DEFINIR","9Z","POR DEFINIR",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
3616,"COL0053231","GRUPO ARQUITECTURA UCP - HABITAT; CULTURA Y REGION",2003,1,1,"Pereira",66,"Risaralda","UNIVERSIDAD CATOLICA DE PEREIRA UCP",6,"HUMANIDADES","6D","ARTE",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
3618,"COL0053259","GIDETECHMA",2005,3,276,"Floridablanca",68,"Santander","UNIVERSIDAD PONTIFICIA BOLIVARIANA SECCIONAL BUCARAMANGA",2,"INGENIERIA Y TECNOLOGIA","2C","INGENIERIA MECANICA",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
3619,"COL0053269","AMAUTA",2001,4,1,"Barranquilla",8,"Atlantico","UNIVERSIDAD DEL ATLANTICO; UNIVERSIDAD LIBRE DE COLOMBIA - BARRANQUILLA",6,"HUMANIDADES","6E","OTRAS HUMANIDADES",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
3620,"COL0005519","GHYGAM",1998,1,1,"Medell¡n",5,"Antioquia","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
3621,"COL0053287","EDUCACION Y TECNOLOGIA",2005,11,1,"Pereira",66,"Risaralda","UNIVERSIDAD TECNOLOGICA DE PEREIRA UTP",9,"POR DEFINIR","9Z","POR DEFINIR",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
3622,"COL0019347","GRIDIC - GRUPO DE INVESTIGACION DE INGENIERIA CIVIL",2003,4,1,"Medell¡n",5,"Antioquia","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID",9,"POR DEFINIR","9Z","POR DEFINIR",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
3623,"COL0020535","GRUPO DE INVESTIGACION EN INSTRUMENTACION; CONTROL AUTOMATICO Y ROBOTICA (ICARO)",2001,2,1,"Medell¡n",5,"Antioquia","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID",2,"INGENIERIA Y TECNOLOGIA","2B","INGENIERIAS ELECTRICA ELECTRONICA E INFORMATICA",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
3624,"COL0006625","GRUPO DE INVESTIGACION ACUICOLA (GIA)",1995,3,1,"Medell¡n",5,"Antioquia","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID",9,"POR DEFINIR","9Z","POR DEFINIR",3,"CIENCIA TECNOLOGIA E INNOVACION DEL MAR Y DE LOS RECURSOS HIDROBIOLOGICOS"
3625,"COL0013844","MODELOS REGIONALES DE COMPETITIVIDAD",2000,1,1,"Popayan",19,"Cauca","CENTRO REGIONAL DE PRODUCTIVIDAD E INNOVACION DEL CAUCA CREPIC; UNIVERSIDAD DEL CAUCA UNICAUCA",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
3629,"COL0053367","GRUPO DE INVESTIGACION UDINEX",2006,2,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
3632,"COL0000318","CENTRO DE INVESTIGACIONES DEL BANANO - CENIBANANO",2002,6,147,"Carepa",5,"Antioquia","CENTRO DE INVESTIGACIONES DEL BANANO CENIBANANO; ASOCIACION DE BANANEROS DE COLOMBIA (AUGURA)",4,"CIENCIAS AGRICOLAS","4A","AGRICULTURA SILVICULTURA Y PESCA",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
3633,"COL0021381","LABORATORIO NACIONAL DE DIAGNOSTICO FITOSANITARIO Y ANALISIS MOLECULAR",2000,6,1,"Agua de Dios",25,"Cundinamarca","INSTITUTO COLOMBIANO AGROPECUARIO ICA",4,"CIENCIAS AGRICOLAS","4A","AGRICULTURA SILVICULTURA Y PESCA",1,"BIOTECNOLOGIA"
3636,"COL0044368","WIKI-WIKI",2005,3,1,"Popayan",19,"Cauca","UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
3638,"COL0030139","GIDIA: GRUPO DE INVESTIGACION Y DESARROLLO EN INTELIGENCIA ARTIFICIAL",2000,2,1,"Medell¡n",5,"Antioquia","UNIVERSIDAD NACIONAL DE COLOMBIA",1,"CIENCIAS NATURALES","1B","COMPUTACION Y CIENCIAS DE LA INFORMACION",9,"ELECTRONICA TELECOMUNICACIONES E INFORMATICA"
3639,"COL0001351","GIELEHLA",2004,2,1,"Valledupar",20,"Cesar","UNIVERSIDAD POPULAR DEL CESAR UPC",6,"HUMANIDADES","6B","IDIOMAS Y LITERATURA",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
3641,"COL0004399","GRUPO DE QUIMICA-FISICA TEORICA",2005,9,1,"Medell¡n",5,"Antioquia","UNIVERSIDAD DE ANTIOQUIA - UDEA",1,"CIENCIAS NATURALES","1D","CIENCIAS QUIMICAS",5,"CIENCIAS BASICAS"
3642,"COL0003356","GRUPO DE INVESTIGACION EN CALIDAD AMBIENTAL",2005,9,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
3645,"COL0043351","COMPUTACION APLICADA",2003,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD NACIONAL DE COLOMBIA",1,"CIENCIAS NATURALES","1B","COMPUTACION Y CIENCIAS DE LA INFORMACION",9,"ELECTRONICA TELECOMUNICACIONES E INFORMATICA"
